,NN,IN,CLOSE,OPEN
13_3,0.9701,0.9882,0.93,0.8665
13_4,0.9696,0.9881,0.9475,0.8617
13_5,0.9698,0.9884,0.9271,0.8629
13_6,0.9699,0.9885,0.9273,0.8546
13_7,0.9702,0.9883,0.9327,0.8603
13_8,0.9702,0.9887,0.9286,0.8607
13_9,0.9697,0.988,0.9371,0.8609
13_10,0.9704,0.9883,0.9402,0.8661
13_11,0.9701,0.9881,0.9296,0.8656
13_12,0.9702,0.9884,0.9373,0.8594
13_13,0.9695,0.988,0.942,0.8654
13_14,0.9703,0.9881,0.9342,0.8555
13_15,0.9698,0.9883,0.9358,0.8592
13_16,0.97,0.9886,0.928,0.8694
13_17,0.9701,0.9883,0.947,0.8525
13_18,0.9705,0.9884,0.9288,0.8675
13_19,0.9698,0.9881,0.9395,0.8692
13_20,0.9702,0.9886,0.9356,0.8611
13_21,0.9701,0.9885,0.9327,0.8603
13_22,0.9699,0.9882,0.9437,0.8615
13_23,0.9702,0.9882,0.936,0.8544
13_24,0.9704,0.9885,0.9255,0.8585
13_25,0.9702,0.9885,0.9284,0.8732
13_26,0.9699,0.9886,0.9384,0.8568
13_27,0.9704,0.9882,0.9338,0.8658
13_28,0.9703,0.9883,0.9419,0.8704
13_29,0.9701,0.9888,0.9266,0.8599
13_30,0.9705,0.9883,0.9371,0.8611
13_31,0.9705,0.9886,0.9468,0.8686
13_32,0.9703,0.9885,0.9366,0.8516
13_33,0.9706,0.9883,0.9305,0.8663
13_34,0.9706,0.9888,0.9386,0.8676
13_35,0.9705,0.9886,0.9318,0.8665
13_36,0.9701,0.9886,0.938,0.8586
13_37,0.9705,0.9886,0.941,0.862
13_38,0.9704,0.9884,0.9449,0.8678
13_39,0.9705,0.9881,0.9289,0.8603
14_0,0.9702,0.9888,0.9312,0.8614
14_1,0.971,0.9887,0.9254,0.8636
14_2,0.9702,0.9884,0.9437,0.8613
14_3,0.9701,0.9882,0.9198,0.8615
14_4,0.9699,0.9884,0.9425,0.8614
14_5,0.9699,0.9886,0.9359,0.8695
14_6,0.9703,0.9886,0.9233,0.8582
14_7,0.9703,0.9883,0.9554,0.8615
14_8,0.9706,0.9885,0.9373,0.8598
14_9,0.9705,0.988,0.936,0.8584
14_10,0.9705,0.9885,0.9396,0.8714
14_11,0.9708,0.9882,0.936,0.8701
14_12,0.9703,0.9887,0.954,0.8618
14_13,0.9697,0.9885,0.9314,0.8694
14_14,0.9705,0.988,0.9256,0.8591
14_15,0.97,0.9891,0.9359,0.8629
14_16,0.9705,0.9885,0.9273,0.8686
14_17,0.9704,0.9887,0.939,0.8531
14_18,0.9706,0.9886,0.9197,0.8687
14_19,0.9702,0.9879,0.9377,0.8705
14_20,0.9709,0.9886,0.9333,0.8684
14_21,0.9701,0.9885,0.9357,0.8674
14_22,0.971,0.9884,0.9361,0.8615
14_23,0.9705,0.9886,0.9455,0.8563
